batch;species;treat_code;treatment;flask;cutting;bud;BBdate;BBdelay;flushed
1;Acer;1;6//6;6//1;1;1;43166;44;1
1;Acer;1;6//6;6//1;1;2;;;0
1;Acer;1;6//6;6//1;1;3;;;0
1;Acer;1;6//6;6//1;1;4;;;0
1;Acer;1;6//6;6//1;2;1;;;0
1;Acer;1;6//6;6//1;2;2;43164;42;1
1;Acer;1;6//6;6//1;2;3;;;0
1;Acer;1;6//6;6//1;2;4;43164;42;1
1;Acer;1;6//6;6//1;3;1;43158;36;1
1;Acer;1;6//6;6//1;3;2;43161;39;1
1;Acer;1;6//6;6//1;3;3;43187;65;1
1;Acer;1;6//6;6//1;3;4;;;0
1;Acer;1;6//6;6//1;4;1;43161;39;1
1;Acer;1;6//6;6//1;4;2;43168;46;1
1;Acer;1;6//6;6//1;4;3;43171;49;1
1;Acer;1;6//6;6//1;4;4;;;0
1;Acer;1;6//6;6//1;5;1;43164;42;1
1;Acer;1;6//6;6//1;5;2;43158;36;1
1;Acer;1;6//6;6//1;5;3;43171;49;1
1;Acer;1;6//6;6//1;5;4;;;0
1;Acer;1;6//6;6//2;6;1;43161;39;1
1;Acer;1;6//6;6//2;6;2;;;0
1;Acer;1;6//6;6//2;6;3;;;0
1;Acer;1;6//6;6//2;6;4;;;0
1;Acer;1;6//6;6//2;7;1;43168;46;1
1;Acer;1;6//6;6//2;7;2;43158;36;1
1;Acer;1;6//6;6//2;7;3;43166;44;1
1;Acer;1;6//6;6//2;7;4;;;0
1;Acer;1;6//6;6//2;8;1;43161;39;1
1;Acer;1;6//6;6//2;8;2;43164;42;1
1;Acer;1;6//6;6//2;8;3;43166;44;1
1;Acer;1;6//6;6//2;8;4;43189;67;1
1;Acer;1;6//6;6//2;9;1;43158;36;1
1;Acer;1;6//6;6//2;9;2;43158;36;1
1;Acer;1;6//6;6//2;9;3;;;0
1;Acer;1;6//6;6//2;9;4;;;0
1;Acer;1;6//6;6//2;10;1;;;0
1;Acer;1;6//6;6//2;10;2;43158;36;1
1;Acer;1;6//6;6//2;10;3;;;0
1;Acer;1;6//6;6//2;10;4;43158;36;1
2;Acer;1;6//6;6//1;1;1;43171;28;1
2;Acer;1;6//6;6//1;1;2;43182;39;1
2;Acer;1;6//6;6//1;1;3;43166;23;1
2;Acer;1;6//6;6//1;1;4;43166;23;1
2;Acer;1;6//6;6//1;2;1;;;0
2;Acer;1;6//6;6//1;2;2;;;0
2;Acer;1;6//6;6//1;2;3;;;0
2;Acer;1;6//6;6//1;2;4;43168;25;1
2;Acer;1;6//6;6//1;3;1;43174;31;1
2;Acer;1;6//6;6//1;3;2;43182;39;1
2;Acer;1;6//6;6//1;3;3;;;0
2;Acer;1;6//6;6//1;3;4;;;0
2;Acer;1;6//6;6//1;4;1;43178;35;1
2;Acer;1;6//6;6//1;4;2;43187;44;1
2;Acer;1;6//6;6//1;4;3;;;0
