batch;species;treat_code;treatment;flask;cutting;bud;BBdate;BBdelay;flushed
2;Acer;1;6//6;6//1;4;4;;;0
2;Acer;1;6//6;6//1;5;1;43178;35;1
2;Acer;1;6//6;6//1;5;2;;;0
2;Acer;1;6//6;6//1;5;3;;;0
2;Acer;1;6//6;6//1;5;4;;;0
2;Acer;1;6//6;6//1;6;1;;;0
2;Acer;1;6//6;6//1;6;2;43185;42;1
2;Acer;1;6//6;6//1;6;3;43180;37;1
2;Acer;1;6//6;6//1;6;4;43178;35;1
2;Acer;1;6//6;6//2;7;1;43171;28;1
2;Acer;1;6//6;6//2;7;2;43174;31;1
2;Acer;1;6//6;6//2;7;3;;;0
2;Acer;1;6//6;6//2;7;4;;;0
2;Acer;1;6//6;6//2;8;1;43174;31;1
2;Acer;1;6//6;6//2;8;2;43174;31;1
2;Acer;1;6//6;6//2;8;3;;;0
2;Acer;1;6//6;6//2;8;4;;;0
2;Acer;1;6//6;6//2;9;1;43174;31;1
2;Acer;1;6//6;6//2;9;2;;;0
2;Acer;1;6//6;6//2;9;3;;;0
2;Acer;1;6//6;6//2;9;4;;;0
2;Acer;1;6//6;6//2;10;1;43174;31;1
2;Acer;1;6//6;6//2;10;2;;;0
2;Acer;1;6//6;6//2;10;3;;;0
2;Acer;1;6//6;6//2;10;4;43178;35;1
2;Acer;1;6//6;6//2;11;1;;;0
2;Acer;1;6//6;6//2;11;2;43171;28;1
2;Acer;1;6//6;6//2;11;3;43171;28;1
2;Acer;1;6//6;6//2;11;4;;;0
1;Acer;2;2//6;3//1;1;1;43164;42;1
1;Acer;2;2//6;3//1;1;2;43178;56;1
1;Acer;2;2//6;3//1;1;3;43178;56;1
1;Acer;2;2//6;3//1;1;4;;;0
1;Acer;2;2//6;3//1;2;1;;;0
1;Acer;2;2//6;3//1;2;2;43164;42;1
1;Acer;2;2//6;3//1;2;3;;;0
1;Acer;2;2//6;3//1;2;4;;;0
1;Acer;2;2//6;3//1;3;1;43164;42;1
1;Acer;2;2//6;3//1;3;2;43164;42;1
1;Acer;2;2//6;3//1;3;3;;;0
1;Acer;2;2//6;3//1;3;4;;;0
1;Acer;2;2//6;3//1;4;1;43171;49;1
1;Acer;2;2//6;3//1;4;2;43182;60;1
1;Acer;2;2//6;3//1;4;3;43168;46;1
1;Acer;2;2//6;3//1;4;4;;;0
1;Acer;2;2//6;3//1;5;1;43161;39;1
1;Acer;2;2//6;3//1;5;2;;;0
1;Acer;2;2//6;3//1;5;3;;;0
1;Acer;2;2//6;3//1;5;4;;;0
1;Acer;2;2//6;3//2;6;1;43171;49;1
1;Acer;2;2//6;3//2;6;2;;;0
1;Acer;2;2//6;3//2;6;3;;;0
1;Acer;2;2//6;3//2;6;4;;;0
1;Acer;2;2//6;3//2;6;1;43161;39;1
1;Acer;2;2//6;3//2;7;2;43164;42;1
1;Acer;2;2//6;3//2;7;3;43171;49;1
1;Acer;2;2//6;3//2;7;4;;;0
1;Acer;2;2//6;3//2;8;1;43161;39;1
1;Acer;2;2//6;3//2;8;2;;;0
1;Acer;2;2//6;3//2;8;3;;;0
1;Acer;2;2//6;3//2;8;4;;;0
1;Acer;2;2//6;3//2;9;1;43161;39;1
1;Acer;2;2//6;3//2;9;2;;;0
1;Acer;2;2//6;3//2;9;3;;;0
1;Acer;2;2//6;3//2;9;4;;;0
1;Acer;2;2//6;3//2;10;1;43161;39;1
1;Acer;2;2//6;3//2;10;2;;;0
1;Acer;2;2//6;3//2;10;3;;;0
1;Acer;2;2//6;3//2;10;4;;;0
2;Acer;2;2//6;3//1;1;1;43178;35;1
2;Acer;2;2//6;3//1;1;2;;;0
2;Acer;2;2//6;3//1;1;3;;;0
2;Acer;2;2//6;3//1;1;4;;;0
2;Acer;2;2//6;3//1;2;1;43180;37;1
2;Acer;2;2//6;3//1;2;2;43180;37;1
2;Acer;2;2//6;3//1;2;3;;;0
2;Acer;2;2//6;3//1;2;4;;;0
2;Acer;2;2//6;3//1;3;1;43168;25;1
2;Acer;2;2//6;3//1;3;2;;;0
2;Acer;2;2//6;3//1;3;3;;;0
2;Acer;2;2//6;3//1;3;4;;;0
2;Acer;2;2//6;3//1;4;1;43178;35;1
2;Acer;2;2//6;3//1;4;2;;;0
2;Acer;2;2//6;3//1;4;3;;;0
2;Acer;2;2//6;3//1;4;4;;;0
2;Acer;2;2//6;3//1;5;1;43178;35;1
2;Acer;2;2//6;3//1;5;2;;;0
2;Acer;2;2//6;3//1;5;3;;;0
2;Acer;2;2//6;3//1;5;4;;;0
2;Acer;2;2//6;3//1;6;1;43178;35;1
2;Acer;2;2//6;3//1;6;2;;;0
2;Acer;2;2//6;3//1;6;3;;;0
2;Acer;2;2//6;3//1;6;4;;;0
2;Acer;2;2//6;3//1;7;1;43174;31;1
2;Acer;2;2//6;3//1;7;2;;;0
2;Acer;2;2//6;3//1;7;3;;;0
2;Acer;2;2//6;3//1;7;4;;;0
2;Acer;2;2//6;3//2;8;1;;;0
2;Acer;2;2//6;3//2;8;2;;;0
2;Acer;2;2//6;3//2;8;3;;;0
2;Acer;2;2//6;3//2;8;4;;;0
2;Acer;2;2//6;3//2;9;1;;;0
2;Acer;2;2//6;3//2;9;2;;;0
2;Acer;2;2//6;3//2;9;3;;;0
2;Acer;2;2//6;3//2;9;4;;;0
2;Acer;2;2//6;3//2;10;1;;;0
2;Acer;2;2//6;3//2;10;2;43171;28;1
2;Acer;2;2//6;3//2;10;3;;;0
2;Acer;2;2//6;3//2;10;4;;;0
2;Acer;2;2//6;3//2;11;1;43178;35;1
2;Acer;2;2//6;3//2;11;2;;;0
2;Acer;2;2//6;3//2;11;3;;;0
2;Acer;2;2//6;3//2;11;4;;;0
2;Acer;2;2//6;3//2;12;1;43171;28;1
2;Acer;2;2//6;3//2;12;2;;;0
2;Acer;2;2//6;3//2;12;3;;;0
2;Acer;2;2//6;3//2;12;4;;;0
2;Acer;2;2//6;3//2;13;1;43189;46;1
2;Acer;2;2//6;3//2;13;2;43189;46;1
2;Acer;2;2//6;3//2;13;3;;;0
2;Acer;2;2//6;3//2;13;4;;;0
1;Acer;3;6//10;2//1;1;1;43164;42;1
1;Acer;3;6//10;2//1;1;2;;;0
1;Acer;3;6//10;2//1;1;3;;;0
1;Acer;3;6//10;2//1;1;4;;;0
1;Acer;3;6//10;2//1;2;1;43161;39;1
1;Acer;3;6//10;2//1;2;2;;;0
1;Acer;3;6//10;2//1;2;3;43168;46;1
1;Acer;3;6//10;2//1;2;4;;;0
1;Acer;3;6//10;2//1;3;1;43161;39;1
1;Acer;3;6//10;2//1;3;2;43161;39;1
1;Acer;3;6//10;2//1;3;3;;;0
1;Acer;3;6//10;2//1;3;4;;;0
1;Acer;3;6//10;2//1;4;1;43166;44;1
1;Acer;3;6//10;2//1;4;2;;;0
1;Acer;3;6//10;2//1;4;3;;;0
1;Acer;3;6//10;2//1;4;4;;;0
1;Acer;3;6//10;2//1;5;1;43166;44;1
1;Acer;3;6//10;2//1;5;2;43171;49;1
1;Acer;3;6//10;2//1;5;3;;;0
1;Acer;3;6//10;2//1;5;4;43164;42;1
1;Acer;3;6//10;2//1;6;1;;;0
1;Acer;3;6//10;2//1;6;2;;;0
1;Acer;3;6//10;2//1;6;3;;;0
1;Acer;3;6//10;2//1;6;4;;;0
1;Acer;3;6//10;2//2;7;1;43166;44;1
1;Acer;3;6//10;2//2;7;2;43166;44;1
1;Acer;3;6//10;2//2;7;3;43180;58;1
1;Acer;3;6//10;2//2;7;4;;;0
1;Acer;3;6//10;2//2;8;1;43164;42;1
1;Acer;3;6//10;2//2;8;2;43164;42;1
1;Acer;3;6//10;2//2;8;3;;;0
1;Acer;3;6//10;2//2;8;4;;;0
1;Acer;3;6//10;2//2;9;1;43171;49;1
1;Acer;3;6//10;2//2;9;2;;;0
1;Acer;3;6//10;2//2;9;3;;;0
1;Acer;3;6//10;2//2;9;4;;;0
1;Acer;3;6//10;2//2;10;1;43158;36;1
1;Acer;3;6//10;2//2;10;2;;;0
1;Acer;3;6//10;2//2;10;3;;;0
1;Acer;3;6//10;2//2;10;4;;;0
1;Acer;3;6//10;2//2;11;1;43161;39;1
1;Acer;3;6//10;2//2;11;2;;;0
1;Acer;3;6//10;2//2;11;3;43158;36;1
1;Acer;3;6//10;2//2;11;4;;;0
2;Acer;3;6//10;2//1;1;1;43174;31;1
2;Acer;3;6//10;2//1;1;2;;;0
2;Acer;3;6//10;2//1;1;3;;;0
2;Acer;3;6//10;2//1;1;4;;;0
2;Acer;3;6//10;2//1;2;1;43174;31;1
2;Acer;3;6//10;2//1;2;2;43180;37;1
2;Acer;3;6//10;2//1;2;3;;;0
2;Acer;3;6//10;2//1;2;4;;;0
2;Acer;3;6//10;2//1;3;1;43180;37;1
2;Acer;3;6//10;2//1;3;2;;;0
2;Acer;3;6//10;2//1;3;3;;;0
2;Acer;3;6//10;2//1;3;4;;;0
2;Acer;3;6//10;2//1;4;1;43180;37;1
2;Acer;3;6//10;2//1;4;2;43180;37;1
2;Acer;3;6//10;2//1;4;3;;;0
2;Acer;3;6//10;2//1;4;4;;;0
2;Acer;3;6//10;2//1;5;1;;;0
2;Acer;3;6//10;2//1;5;2;43180;37;1
2;Acer;3;6//10;2//1;5;3;;;0
2;Acer;3;6//10;2//1;5;4;;;0
2;Acer;3;6//10;2//1;6;1;43171;28;1
2;Acer;3;6//10;2//1;6;2;;;0
2;Acer;3;6//10;2//1;6;3;;;0
2;Acer;3;6//10;2//1;6;4;;;0
2;Acer;3;6//10;2//1;8;1;43178;35;1
2;Acer;3;6//10;2//1;8;2;;;0
2;Acer;3;6//10;2//1;8;3;;;0
2;Acer;3;6//10;2//1;8;4;;;0
2;Acer;3;6//10;2//2;9;1;43182;39;1
2;Acer;3;6//10;2//2;9;2;;;0
2;Acer;3;6//10;2//2;9;3;;;0
2;Acer;3;6//10;2//2;9;4;;;0
2;Acer;3;6//10;2//2;10;1;43187;44;1
2;Acer;3;6//10;2//2;10;2;;;0
2;Acer;3;6//10;2//2;10;3;;;0
2;Acer;3;6//10;2//2;10;4;;;0
2;Acer;3;6//10;2//2;11;1;43171;28;1
2;Acer;3;6//10;2//2;11;2;;;0
2;Acer;3;6//10;2//2;11;3;;;0
2;Acer;3;6//10;2//2;11;4;;;0
2;Acer;3;6//10;2//2;12;1;;;0
2;Acer;3;6//10;2//2;12;2;43174;31;1
2;Acer;3;6//10;2//2;12;3;43174;31;1
2;Acer;3;6//10;2//2;12;4;;;0
2;Acer;3;6//10;2//2;13;1;43178;35;1
2;Acer;3;6//10;2//2;13;2;;;0
2;Acer;3;6//10;2//2;13;3;;;0
2;Acer;3;6//10;2//2;13;4;;;0
2;Acer;3;6//10;2//2;14;1;43178;35;1
2;Acer;3;6//10;2//2;14;2;43182;39;1
2;Acer;3;6//10;2//2;14;3;;;0
2;Acer;3;6//10;2//2;14;4;;;0
2;Acer;3;6//10;2//2;15;1;43178;35;1
2;Acer;3;6//10;2//2;15;2;43187;44;1
2;Acer;3;6//10;2//2;15;3;;;0
2;Acer;3;6//10;2//2;15;4;;;0
2;Acer;3;6//10;2//2;16;1;43185;42;1
2;Acer;3;6//10;2//2;16;2;;;0
2;Acer;3;6//10;2//2;16;3;;;0
2;Acer;3;6//10;2//2;16;4;;;0
1;Acer;4;6//14;4//1;1;1;43178;56;1
1;Acer;4;6//14;4//1;1;2;;;0
1;Acer;4;6//14;4//1;1;3;43164;42;1
1;Acer;4;6//14;4//1;1;4;;;0
1;Acer;4;6//14;4//1;2;1;;;0
1;Acer;4;6//14;4//1;2;2;;;0
1;Acer;4;6//14;4//1;2;3;;;0
1;Acer;4;6//14;4//1;2;4;43189;67;1
1;Acer;4;6//14;4//1;3;1;;;0
1;Acer;4;6//14;4//1;3;2;;;0
1;Acer;4;6//14;4//1;3;3;;;0
1;Acer;4;6//14;4//1;3;4;;;0
1;Acer;4;6//14;4//1;4;1;;;0
1;Acer;4;6//14;4//1;4;2;;;0
1;Acer;4;6//14;4//1;4;3;;;0
1;Acer;4;6//14;4//1;4;4;;;0
1;Acer;4;6//14;4//1;5;1;43171;49;1
1;Acer;4;6//14;4//1;5;2;43164;42;1
1;Acer;4;6//14;4//1;5;3;;;0
1;Acer;4;6//14;4//1;5;4;;;0
1;Acer;4;6//14;4//2;6;1;;;0
1;Acer;4;6//14;4//2;6;2;;;0
1;Acer;4;6//14;4//2;6;3;;;0
1;Acer;4;6//14;4//2;6;4;;;0
1;Acer;4;6//14;4//2;7;1;43187;65;1
1;Acer;4;6//14;4//2;7;2;;;0
1;Acer;4;6//14;4//2;7;3;;;0
1;Acer;4;6//14;4//2;7;4;;;0
1;Acer;4;6//14;4//2;8;1;;;0
1;Acer;4;6//14;4//2;8;2;;;0
1;Acer;4;6//14;4//2;8;3;;;0
1;Acer;4;6//14;4//2;8;4;;;0
1;Acer;4;6//14;4//2;9;1;43182;60;1
1;Acer;4;6//14;4//2;9;2;;;0
1;Acer;4;6//14;4//2;9;3;;;0
1;Acer;4;6//14;4//2;9;4;43158;36;1
1;Acer;4;6//14;4//2;10;1;43187;65;1
1;Acer;4;6//14;4//2;10;2;;;0
1;Acer;4;6//14;4//2;10;3;;;0
1;Acer;4;6//14;4//2;10;4;;;0
2;Acer;4;6//14;4//1;1;1;43187;44;1
2;Acer;4;6//14;4//1;1;2;43185;42;1
2;Acer;4;6//14;4//1;1;3;;;0
2;Acer;4;6//14;4//1;1;4;;;0
2;Acer;4;6//14;4//1;2;1;43180;37;1
2;Acer;4;6//14;4//1;2;2;;;0
2;Acer;4;6//14;4//1;2;3;;;0
2;Acer;4;6//14;4//1;2;4;;;0
2;Acer;4;6//14;4//1;3;1;;;0
2;Acer;4;6//14;4//1;3;2;;;0
2;Acer;4;6//14;4//1;3;3;;;0
2;Acer;4;6//14;4//1;3;4;;;0
2;Acer;4;6//14;4//1;4;1;;;0
2;Acer;4;6//14;4//1;4;2;;;0
2;Acer;4;6//14;4//1;4;3;;;0
2;Acer;4;6//14;4//1;4;4;;;0
2;Acer;4;6//14;4//1;5;1;43180;37;1
2;Acer;4;6//14;4//1;5;2;;;0
2;Acer;4;6//14;4//1;5;3;;;0
2;Acer;4;6//14;4//1;5;4;;;0
2;Acer;4;6//14;4//1;6;1;;;0
2;Acer;4;6//14;4//1;6;2;43174;31;1
2;Acer;4;6//14;4//1;6;3;;;0
2;Acer;4;6//14;4//1;6;4;;;0
2;Acer;4;6//14;4//2;7;1;43164;21;1
2;Acer;4;6//14;4//2;7;2;;;0
2;Acer;4;6//14;4//2;7;3;;;0
2;Acer;4;6//14;4//2;7;4;;;0
2;Acer;4;6//14;4//2;8;1;43187;44;1
2;Acer;4;6//14;4//2;8;2;;;0
2;Acer;4;6//14;4//2;8;3;;;0
2;Acer;4;6//14;4//2;8;4;;;0
2;Acer;4;6//14;4//2;9;1;;;0
2;Acer;4;6//14;4//2;9;2;;;0
2;Acer;4;6//14;4//2;9;3;;;0
2;Acer;4;6//14;4//2;9;4;;;0
2;Acer;4;6//14;4//2;10;1;;;0
2;Acer;4;6//14;4//2;10;2;;;0
2;Acer;4;6//14;4//2;10;3;;;0
2;Acer;4;6//14;4//2;10;4;;;0
2;Acer;4;6//14;4//2;11;1;;;0
2;Acer;4;6//14;4//2;11;2;;;0
2;Acer;4;6//14;4//2;11;3;43187;44;1
2;Acer;4;6//14;4//2;11;4;;;0
2;Acer;4;6//14;4//2;12;1;43187;44;1
2;Acer;4;6//14;4//2;12;2;;;0
2;Acer;4;6//14;4//2;12;3;;;0
2;Acer;4;6//14;4//2;12;4;;;0
1;Acer;5;14//6;5//2;1;1;43171;49;1
1;Acer;5;14//6;5//2;1;2;;;0
1;Acer;5;14//6;5//2;1;3;;;0
1;Acer;5;14//6;5//2;1;4;;;0
1;Acer;5;14//6;5//2;2;1;43158;36;1
1;Acer;5;14//6;5//2;2;2;43158;36;1
1;Acer;5;14//6;5//2;2;3;43164;42;1
1;Acer;5;14//6;5//2;2;4;;;0
1;Acer;5;14//6;5//2;3;1;43164;42;1
1;Acer;5;14//6;5//2;3;2;43164;42;1
1;Acer;5;14//6;5//2;3;3;;;0
1;Acer;5;14//6;5//2;3;4;;;0
1;Acer;5;14//6;5//2;4;1;43182;60;1
1;Acer;5;14//6;5//2;4;2;43161;39;1
1;Acer;5;14//6;5//2;4;3;;;0
1;Acer;5;14//6;5//2;4;4;;;0
1;Acer;5;14//6;5//2;5;1;;;0
1;Acer;5;14//6;5//2;5;2;43158;36;1
1;Acer;5;14//6;5//2;5;3;43158;36;1
1;Acer;5;14//6;5//2;5;4;;;0
1;Acer;5;14//6;5//1;6;1;43158;36;1
1;Acer;5;14//6;5//1;6;2;43158;36;1
1;Acer;5;14//6;5//1;6;3;43178;56;1
1;Acer;5;14//6;5//1;6;4;43178;56;1
1;Acer;5;14//6;5//1;7;1;43171;49;1
1;Acer;5;14//6;5//1;7;2;43187;65;1
1;Acer;5;14//6;5//1;7;3;;;0
1;Acer;5;14//6;5//1;7;4;43168;46;1
1;Acer;5;14//6;5//1;8;1;43161;39;1
1;Acer;5;14//6;5//1;8;2;43164;42;1
1;Acer;5;14//6;5//1;8;3;;;0
1;Acer;5;14//6;5//1;8;4;;;0
1;Acer;5;14//6;5//1;9;1;43161;39;1
1;Acer;5;14//6;5//1;9;2;;;0
1;Acer;5;14//6;5//1;9;3;;;0
1;Acer;5;14//6;5//1;9;4;;;0
1;Acer;5;14//6;5//1;10;1;43178;56;1
1;Acer;5;14//6;5//1;10;2;43158;36;1
1;Acer;5;14//6;5//1;10;3;;;0
1;Acer;5;14//6;5//1;10;4;;;0
2;Acer;5;14//6;5//1;1;1;;;0
2;Acer;5;14//6;5//1;1;2;;;0
2;Acer;5;14//6;5//1;1;3;;;0
2;Acer;5;14//6;5//1;1;4;43174;31;1
2;Acer;5;14//6;5//1;2;1;;;0
2;Acer;5;14//6;5//1;2;2;;;0
2;Acer;5;14//6;5//1;2;3;;;0
2;Acer;5;14//6;5//1;2;4;43174;31;1
2;Acer;5;14//6;5//1;3;1;43180;37;1
2;Acer;5;14//6;5//1;3;2;;;0
2;Acer;5;14//6;5//1;3;3;;;0
2;Acer;5;14//6;5//1;3;4;;;0
2;Acer;5;14//6;5//1;4;1;43182;39;1
2;Acer;5;14//6;5//1;4;2;43185;42;1
2;Acer;5;14//6;5//1;4;3;;;0
2;Acer;5;14//6;5//1;4;4;;;0
2;Acer;5;14//6;5//1;5;1;;;0
2;Acer;5;14//6;5//1;5;2;;;0
2;Acer;5;14//6;5//1;5;3;;;0
2;Acer;5;14//6;5//1;5;4;;;0
2;Acer;5;14//6;5//1;6;1;43182;39;1
2;Acer;5;14//6;5//1;6;2;43178;35;1
2;Acer;5;14//6;5//1;6;3;43182;39;1
2;Acer;5;14//6;5//1;6;4;43185;42;1
2;Acer;5;14//6;5//2;7;1;43178;35;1
2;Acer;5;14//6;5//2;7;2;;;0
2;Acer;5;14//6;5//2;7;3;;;0
2;Acer;5;14//6;5//2;7;4;;;0
2;Acer;5;14//6;5//2;8;1;;;0
2;Acer;5;14//6;5//2;8;2;43178;35;1
2;Acer;5;14//6;5//2;8;3;43178;35;1
2;Acer;5;14//6;5//2;8;4;;;0
2;Acer;5;14//6;5//2;9;1;43168;25;1
2;Acer;5;14//6;5//2;9;2;43168;25;1
2;Acer;5;14//6;5//2;9;3;;;0
2;Acer;5;14//6;5//2;9;4;;;0
2;Acer;5;14//6;5//2;10;1;43180;37;1
2;Acer;5;14//6;5//2;10;2;;;0
2;Acer;5;14//6;5//2;10;3;;;0
2;Acer;5;14//6;5//2;10;4;;;0
2;Acer;5;14//6;5//2;11;1;;;0
2;Acer;5;14//6;5//2;11;2;43178;35;1
2;Acer;5;14//6;5//2;11;3;43178;35;1
2;Acer;5;14//6;5//2;11;4;;;0
2;Acer;5;14//6;5//2;12;1;43182;39;1
2;Acer;5;14//6;5//2;12;2;43171;28;1
2;Acer;5;14//6;5//2;12;3;;;0
2;Acer;5;14//6;5//2;12;4;;;0
1;Acer;6;6//18;1//1;1;1;;;0
1;Acer;6;6//18;1//1;1;2;;;0
1;Acer;6;6//18;1//1;1;3;;;0
1;Acer;6;6//18;1//1;1;4;;;0
1;Acer;6;6//18;1//1;2;1;;;0
1;Acer;6;6//18;1//1;2;2;;;0
1;Acer;6;6//18;1//1;2;3;;;0
1;Acer;6;6//18;1//1;2;4;;;0
1;Acer;6;6//18;1//1;3;1;;;0
1;Acer;6;6//18;1//1;3;2;;;0
1;Acer;6;6//18;1//1;3;3;;;0
1;Acer;6;6//18;1//1;3;4;;;0
1;Acer;6;6//18;1//1;4;1;;;0
1;Acer;6;6//18;1//1;4;2;;;0
1;Acer;6;6//18;1//1;4;3;;;0
1;Acer;6;6//18;1//1;4;4;;;0
1;Acer;6;6//18;1//1;5;1;;;0
1;Acer;6;6//18;1//1;5;2;;;0
1;Acer;6;6//18;1//1;5;3;;;0
1;Acer;6;6//18;1//1;5;4;;;0
1;Acer;6;6//18;1//2;6;1;;;0
1;Acer;6;6//18;1//2;6;2;;;0
1;Acer;6;6//18;1//2;6;3;;;0
1;Acer;6;6//18;1//2;6;4;;;0
1;Acer;6;6//18;1//2;7;1;;;0
1;Acer;6;6//18;1//2;7;2;;;0
1;Acer;6;6//18;1//2;7;3;;;0
1;Acer;6;6//18;1//2;7;4;;;0
1;Acer;6;6//18;1//2;8;1;;;0
1;Acer;6;6//18;1//2;8;2;43187;65;1
1;Acer;6;6//18;1//2;8;3;;;0
1;Acer;6;6//18;1//2;8;4;43161;39;1
1;Acer;6;6//18;1//2;9;1;;;0
1;Acer;6;6//18;1//2;9;2;;;0
1;Acer;6;6//18;1//2;9;3;;;0
1;Acer;6;6//18;1//2;9;4;;;0
1;Acer;6;6//18;1//2;10;1;43171;49;1
1;Acer;6;6//18;1//2;10;2;;;0
1;Acer;6;6//18;1//2;10;3;;;0
1;Acer;6;6//18;1//2;10;4;;;0
2;Acer;6;6//18;1//1;1;1;;;0
2;Acer;6;6//18;1//1;1;2;;;0
2;Acer;6;6//18;1//1;1;3;;;0
2;Acer;6;6//18;1//1;1;4;;;0
2;Acer;6;6//18;1//1;2;1;;;0
2;Acer;6;6//18;1//1;2;2;;;0
2;Acer;6;6//18;1//1;2;3;;;0
2;Acer;6;6//18;1//1;2;4;;;0
2;Acer;6;6//18;1//1;3;1;;;0
2;Acer;6;6//18;1//1;3;2;;;0
2;Acer;6;6//18;1//1;3;3;;;0
2;Acer;6;6//18;1//1;3;4;;;0
2;Acer;6;6//18;1//1;4;1;;;0
2;Acer;6;6//18;1//1;4;2;;;0
2;Acer;6;6//18;1//1;4;3;;;0
2;Acer;6;6//18;1//1;4;4;;;0
2;Acer;6;6//18;1//1;5;1;;;0
2;Acer;6;6//18;1//1;5;2;;;0
2;Acer;6;6//18;1//1;5;3;;;0
2;Acer;6;6//18;1//1;5;4;;;0
2;Acer;6;6//18;1//1;6;1;;;0
2;Acer;6;6//18;1//1;6;2;;;0
2;Acer;6;6//18;1//1;6;3;;;0
2;Acer;6;6//18;1//1;6;4;;;0
2;Acer;6;6//18;1//2;7;1;;;0
2;Acer;6;6//18;1//2;7;2;;;0
2;Acer;6;6//18;1//2;7;3;;;0
2;Acer;6;6//18;1//2;7;4;;;0
2;Acer;6;6//18;1//2;8;1;;;0
2;Acer;6;6//18;1//2;8;2;;;0
2;Acer;6;6//18;1//2;8;3;;;0
2;Acer;6;6//18;1//2;8;4;;;0
2;Acer;6;6//18;1//2;9;1;;;0
2;Acer;6;6//18;1//2;9;2;;;0
2;Acer;6;6//18;1//2;9;3;;;0
2;Acer;6;6//18;1//2;9;4;;;0
2;Acer;6;6//18;1//2;10;1;;;0
2;Acer;6;6//18;1//2;10;2;;;0
2;Acer;6;6//18;1//2;10;3;;;0
2;Acer;6;6//18;1//2;10;4;;;0
2;Acer;6;6//18;1//2;11;1;;;0
2;Acer;6;6//18;1//2;11;2;;;0
2;Acer;6;6//18;1//2;11;3;;;0
2;Acer;6;6//18;1//2;11;4;43168;25;1
2;Acer;6;6//18;1//2;12;1;;;0
2;Acer;6;6//18;1//2;12;2;;;0
2;Acer;6;6//18;1//2;12;3;;;0
2;Acer;6;6//18;1//2;12;4;;;0
1;Betula;1;6//6;6//1;1;1;43171;56;1
1;Betula;1;6//6;6//1;1;2;43164;49;1
1;Betula;1;6//6;6//1;1;3;43143;28;1
1;Betula;1;6//6;6//1;1;4;43143;28;1
1;Betula;1;6//6;6//1;6;1;43143;28;1
1;Betula;1;6//6;6//1;6;2;43143;28;1
1;Betula;1;6//6;6//1;6;3;43143;28;1
1;Betula;1;6//6;6//1;6;4;43143;28;1
1;Betula;1;6//6;6//1;2;1;43164;49;1
1;Betula;1;6//6;6//1;2;2;43151;36;1
1;Betula;1;6//6;6//1;2;3;43154;39;1
1;Betula;1;6//6;6//1;2;4;43143;28;1
