"mean";"2.5%";"25%";"50%";"75%";"97.5%";"Rhat";"mcse";"5%";"95%"
"(Intercept)";37.3329442304962;35.5925168827957;36.7591716759957;37.3411602281559;37.9284700923406;39.0503371773357;0.999892183153927;0.0175757838610742;35.8942222649531;38.7659779974449
"as.factor(treatment.adj)2_14/26";-6.57589268715233;-9.0069413926952;-7.42357584951818;-6.58202845212149;-5.70763220365621;-4.09084530443718;0.999958297313444;0.0235217739135198;-8.61184875980372;-4.56178279346985
"as.factor(treatment.adj)3_14/26d";-5.03196787748598;-7.32181889698175;-5.85105567983758;-5.02759763748998;-4.21497237175191;-2.68342018151551;1.00012076828575;0.0210539655252232;-6.94537782483894;-3.11357434924811
"as.factor(treatment.adj)4_26/14";-3.5887923962925;-5.96175189309174;-4.40828211560851;-3.61387105939457;-2.78291150310076;-1.18107928386422;0.999560768505628;0.0225446612654481;-5.59563333954446;-1.54944191306875
"as.factor(treatment.adj)5_14/22";-2.37272981102114;-4.65915399122371;-3.18647881150915;-2.38222500509694;-1.58896953345024;0.0152732931252142;0.999691607873836;0.0204117797191644;-4.31496842306717;-0.360100380170108
"as.factor(treatment.adj)6_10/26";-4.30686420452047;-6.69650089408312;-5.13391457599461;-4.30759740470738;-3.5079449797389;-1.94033179525116;0.999963203729076;0.0206933323120613;-6.31777952481348;-2.35494466043441
"SpeciesBetula";-10.441352012102;-12.6317524716661;-11.185128543663;-10.4404297856577;-9.69898054670949;-8.25325684165082;0.999503250921566;0.0204318777231297;-12.2947173629287;-8.58983918171411
"SpeciesFagus";12.5854075537189;10.1738641844488;11.7790354984251;12.5892574360556;13.4014426404038;14.9464105374303;0.999844572714118;0.0199088007853014;10.5635146671514;14.5878779841243
"SpeciesQuercus";-4.55391398249314;-6.91335577964185;-5.36877140191656;-4.54449851383182;-3.76081207669334;-2.1402190965599;0.999712313819614;0.0220131900882631;-6.53616468900936;-2.60026663240596
"as.factor(treatment.adj)2_14/26:SpeciesBetula";5.32002138175495;2.2313529988725;4.2489934521453;5.29615541088421;6.36821063793668;8.45905182068768;1.00019387568279;0.0275867903246618;2.69525979597554;7.95193038560158
"as.factor(treatment.adj)3_14/26d:SpeciesBetula";2.58307243067115;-0.375255573228846;1.54586763430179;2.58217661520857;3.61706225576861;5.51584620118767;0.999782776863684;0.025525911470951;0.0829073647237439;5.08064751850658
"as.factor(treatment.adj)4_26/14:SpeciesBetula";1.10835549361273;-2.00938661489247;0.0415670416485739;1.13874873653005;2.16620703977717;4.30068676813198;0.999309471827966;0.0267092906109422;-1.51760005548258;3.69155253218769
"as.factor(treatment.adj)5_14/22:SpeciesBetula";3.93053647065437;0.933208563733177;2.87949311115007;3.92777772473617;4.98296701131122;6.90895249960242;0.999524978055098;0.024558032154856;1.45412983308416;6.39725371959765
"as.factor(treatment.adj)6_10/26:SpeciesBetula";3.64589381431654;0.583264428813855;2.594018828836;3.64672969808887;4.69971232601977;6.72425011323385;0.999751736513123;0.0236469956753271;1.06222967730513;6.22379428671018
"as.factor(treatment.adj)2_14/26:SpeciesFagus";-3.26234087315916;-6.61103438946734;-4.41209928108743;-3.29965914137883;-2.09248343312896;0.0409224522231584;0.999786916088862;0.0277110376377268;-6.00887749879884;-0.365554806217526
"as.factor(treatment.adj)3_14/26d:SpeciesFagus";3.23764143781344;-0.0586736804721185;2.06240205831123;3.18303438435793;4.3901531064229;6.70756613877489;0.999707575278895;0.0253728627752152;0.462858157343965;6.07236199987617
"as.factor(treatment.adj)4_26/14:SpeciesFagus";1.9602989988129;-1.72692533968315;0.668884629222146;1.96794929530675;3.25827263438279;5.47404790651794;0.999287790581113;0.0300365848039009;-1.01705625195151;5.00936220710299
"as.factor(treatment.adj)5_14/22:SpeciesFagus";3.03222447768026;-0.141606777134386;1.95854248957152;3.02410647919625;4.11065006455364;6.15056005869441;0.999740911520681;0.0235480698213498;0.325900901206192;5.71287177697558
"as.factor(treatment.adj)6_10/26:SpeciesFagus";-10.89341810829;-14.1359039204628;-12.0202853758752;-10.909915411069;-9.75719131621181;-7.59166648721728;1.00003721000137;0.0243649133659988;-13.653531840199;-8.13464033637939
"as.factor(treatment.adj)2_14/26:SpeciesQuercus";5.05760847597275;1.78019600110054;3.8906532294256;5.04985385530515;6.21487691180274;8.30756090466979;0.999874727156281;0.0294798867110516;2.27840863658598;7.81744933372414
"as.factor(treatment.adj)3_14/26d:SpeciesQuercus";1.8391836603066;-1.49796280304385;0.771148260826954;1.8441932745235;2.96287002193238;5.05827136358697;1.00009380093586;0.0268726349081126;-0.900070178646539;4.53930469542711
"as.factor(treatment.adj)4_26/14:SpeciesQuercus";4.02701893451705;0.595588692857008;2.78110675758407;4.04789176518394;5.2223870041322;7.59916858683843;0.999607646816434;0.0303372658579459;1.10395574229479;7.01613705221687
