"mean";"species"
"(Intercept)";37.3909246177518;"acer"
"as.factor(treatment.adj)2_14/26";-5.21643303367961;"acer"
"as.factor(treatment.adj)3_14/26d";-5.19964196563914;"acer"
"as.factor(treatment.adj)4_26/14";-2.79701156186397;"acer"
"as.factor(treatment.adj)5_14/22";-1.54168142121124;"acer"
"as.factor(treatment.adj)6_10/26";-4.12655272851501;"acer"
"b[(Intercept) Tree:1]";-1.03377847306504;"acer"
"b[as.factor(treatment.adj)2_14/26 Tree:1]";-0.307031267021925;"acer"
"b[as.factor(treatment.adj)3_14/26d Tree:1]";-1.41395637763098;"acer"
"b[as.factor(treatment.adj)4_26/14 Tree:1]";2.82583091674586;"acer"
"b[as.factor(treatment.adj)5_14/22 Tree:1]";3.86553522533655;"acer"
"b[as.factor(treatment.adj)6_10/26 Tree:1]";-1.9538091759612;"acer"
"b[(Intercept) Tree:2]";-4.10921511896651;"acer"
"b[as.factor(treatment.adj)2_14/26 Tree:2]";-0.440059917171044;"acer"
"b[as.factor(treatment.adj)3_14/26d Tree:2]";-0.514397981442756;"acer"
"b[as.factor(treatment.adj)4_26/14 Tree:2]";-1.86969485943927;"acer"
"b[as.factor(treatment.adj)5_14/22 Tree:2]";2.2901179816997;"acer"
"b[as.factor(treatment.adj)6_10/26 Tree:2]";-0.640157437415626;"acer"
"b[(Intercept) Tree:3]";-3.67806929669417;"acer"
"b[as.factor(treatment.adj)2_14/26 Tree:3]";-0.979902110800649;"acer"
"b[as.factor(treatment.adj)3_14/26d Tree:3]";-0.646430979030287;"acer"
"b[as.factor(treatment.adj)4_26/14 Tree:3]";2.44853693857493;"acer"
"b[as.factor(treatment.adj)5_14/22 Tree:3]";-2.6017387793649;"acer"
"b[as.factor(treatment.adj)6_10/26 Tree:3]";2.36642080765788;"acer"
"b[(Intercept) Tree:4]";-4.4335387243881;"acer"
"b[as.factor(treatment.adj)2_14/26 Tree:4]";0.274569408887009;"acer"
"b[as.factor(treatment.adj)3_14/26d Tree:4]";1.13933542580377;"acer"
"b[as.factor(treatment.adj)4_26/14 Tree:4]";-3.61985943883899;"acer"
"b[as.factor(treatment.adj)5_14/22 Tree:4]";-0.806324869918165;"acer"
"b[as.factor(treatment.adj)6_10/26 Tree:4]";4.41579863156305;"acer"
"b[(Intercept) Tree:5]";7.52794148865884;"acer"
"b[as.factor(treatment.adj)2_14/26 Tree:5]";1.60481485671279;"acer"
"b[as.factor(treatment.adj)3_14/26d Tree:5]";1.06939672947502;"acer"
"b[as.factor(treatment.adj)4_26/14 Tree:5]";-2.67137634821863;"acer"
"b[as.factor(treatment.adj)5_14/22 Tree:5]";-17.2348130979722;"acer"
"b[as.factor(treatment.adj)6_10/26 Tree:5]";-0.235546438853343;"acer"
"b[(Intercept) Tree:6]";-2.00631318187655;"acer"
"b[as.factor(treatment.adj)2_14/26 Tree:6]";-1.99926171137643;"acer"
"b[as.factor(treatment.adj)3_14/26d Tree:6]";-2.01762712504531;"acer"
"b[as.factor(treatment.adj)4_26/14 Tree:6]";4.56175878649793;"acer"
"b[as.factor(treatment.adj)5_14/22 Tree:6]";1.74393257501848;"acer"
"b[as.factor(treatment.adj)6_10/26 Tree:6]";-3.64120527457376;"acer"
"b[(Intercept) Tree:7]";6.9238850523233;"acer"
"b[as.factor(treatment.adj)2_14/26 Tree:7]";0.157952605317283;"acer"
"b[as.factor(treatment.adj)3_14/26d Tree:7]";1.61836989348276;"acer"
"b[as.factor(treatment.adj)4_26/14 Tree:7]";-2.08736026444086;"acer"
"b[as.factor(treatment.adj)5_14/22 Tree:7]";1.91408087774135;"acer"
"b[as.factor(treatment.adj)6_10/26 Tree:7]";-3.60416897481176;"acer"
"b[(Intercept) Tree:8]";-0.89618598196999;"acer"
"b[as.factor(treatment.adj)2_14/26 Tree:8]";-0.23694914514998;"acer"
"b[as.factor(treatment.adj)3_14/26d Tree:8]";0.581043947072124;"acer"
"b[as.factor(treatment.adj)4_26/14 Tree:8]";0.882975270372557;"acer"
"b[as.factor(treatment.adj)5_14/22 Tree:8]";7.4362194896712;"acer"
"b[as.factor(treatment.adj)6_10/26 Tree:8]";1.05140416999702;"acer"
"b[(Intercept) Tree:9]";4.78362493886476;"acer"
