"mean";"species"
"b[as.factor(treatment.adj)2_14/26 Tree:9]";2.11036389702534;"acer"
"b[as.factor(treatment.adj)3_14/26d Tree:9]";-0.337697274849748;"acer"
"b[as.factor(treatment.adj)4_26/14 Tree:9]";-1.25046179536764;"acer"
"b[as.factor(treatment.adj)5_14/22 Tree:9]";0.803942907682258;"acer"
"b[as.factor(treatment.adj)6_10/26 Tree:9]";-1.11648596796096;"acer"
"b[(Intercept) Tree:10]";-3.37033669497779;"acer"
"b[as.factor(treatment.adj)2_14/26 Tree:10]";-0.261509875542314;"acer"
"b[as.factor(treatment.adj)3_14/26d Tree:10]";0.592296292487569;"acer"
"b[as.factor(treatment.adj)4_26/14 Tree:10]";0.256945939415271;"acer"
"b[as.factor(treatment.adj)5_14/22 Tree:10]";2.37980478448817;"acer"
"b[as.factor(treatment.adj)6_10/26 Tree:10]";3.27315415039492;"acer"
"sigma";4.86677028131811;"acer"
"Sigma[Tree:(Intercept),(Intercept)]";27.7591176184237;"acer"
"Sigma[Tree:as.factor(treatment.adj)2_14/26,(Intercept)]";2.07472218677585;"acer"
"Sigma[Tree:as.factor(treatment.adj)3_14/26d,(Intercept)]";0.79120881560403;"acer"
"Sigma[Tree:as.factor(treatment.adj)4_26/14,(Intercept)]";-2.06996359030509;"acer"
"Sigma[Tree:as.factor(treatment.adj)5_14/22,(Intercept)]";-6.87161901246878;"acer"
"Sigma[Tree:as.factor(treatment.adj)6_10/26,(Intercept)]";-10.0216056869163;"acer"
"Sigma[Tree:as.factor(treatment.adj)2_14/26,as.factor(treatment.adj)2_14/26]";6.3487101591541;"acer"
"Sigma[Tree:as.factor(treatment.adj)3_14/26d,as.factor(treatment.adj)2_14/26]";1.32447185334577;"acer"
"Sigma[Tree:as.factor(treatment.adj)4_26/14,as.factor(treatment.adj)2_14/26]";-0.820329030124594;"acer"
"Sigma[Tree:as.factor(treatment.adj)5_14/22,as.factor(treatment.adj)2_14/26]";-0.98206038496129;"acer"
"Sigma[Tree:as.factor(treatment.adj)6_10/26,as.factor(treatment.adj)2_14/26]";1.98417554133366;"acer"
"Sigma[Tree:as.factor(treatment.adj)3_14/26d,as.factor(treatment.adj)3_14/26d]";6.87557642712169;"acer"
"Sigma[Tree:as.factor(treatment.adj)4_26/14,as.factor(treatment.adj)3_14/26d]";-1.4742236197345;"acer"
"Sigma[Tree:as.factor(treatment.adj)5_14/22,as.factor(treatment.adj)3_14/26d]";-0.160520261906726;"acer"
"Sigma[Tree:as.factor(treatment.adj)6_10/26,as.factor(treatment.adj)3_14/26d]";3.43423659101488;"acer"
"Sigma[Tree:as.factor(treatment.adj)4_26/14,as.factor(treatment.adj)4_26/14]";18.8337403243087;"acer"
"Sigma[Tree:as.factor(treatment.adj)5_14/22,as.factor(treatment.adj)4_26/14]";3.79411576639934;"acer"
"Sigma[Tree:as.factor(treatment.adj)6_10/26,as.factor(treatment.adj)4_26/14]";-1.79494538788596;"acer"
"Sigma[Tree:as.factor(treatment.adj)5_14/22,as.factor(treatment.adj)5_14/22]";38.032063306911;"acer"
"Sigma[Tree:as.factor(treatment.adj)6_10/26,as.factor(treatment.adj)5_14/22]";-1.63766823704819;"acer"
"Sigma[Tree:as.factor(treatment.adj)6_10/26,as.factor(treatment.adj)6_10/26]";25.3917216423508;"acer"
"(Intercept)1";26.7328996953833;"betula"
"as.factor(treatment.adj)2_14/261";-1.36639089026156;"betula"
"as.factor(treatment.adj)3_14/26d1";-2.76103348142895;"betula"
"as.factor(treatment.adj)4_26/141";-2.58710979137683;"betula"
"as.factor(treatment.adj)5_14/221";1.40777178647013;"betula"
"as.factor(treatment.adj)6_10/261";-0.726667749400393;"betula"
"b[(Intercept) Tree:1]1";3.80311736953984;"betula"
"b[as.factor(treatment.adj)2_14/26 Tree:1]1";0.0938912812545092;"betula"
"b[as.factor(treatment.adj)3_14/26d Tree:1]1";-0.477892053199133;"betula"
"b[as.factor(treatment.adj)4_26/14 Tree:1]1";0.257758397200347;"betula"
"b[as.factor(treatment.adj)5_14/22 Tree:1]1";0.00161984633338569;"betula"
"b[as.factor(treatment.adj)6_10/26 Tree:1]1";1.16455204772787;"betula"
"b[(Intercept) Tree:2]1";-5.1353394895578;"betula"
"b[as.factor(treatment.adj)2_14/26 Tree:2]1";0.0332000438105616;"betula"
"b[as.factor(treatment.adj)3_14/26d Tree:2]1";0.854660105925693;"betula"
"b[as.factor(treatment.adj)4_26/14 Tree:2]1";0.446110052752468;"betula"
"b[as.factor(treatment.adj)5_14/22 Tree:2]1";-0.564939093905572;"betula"
"b[as.factor(treatment.adj)6_10/26 Tree:2]1";1.38859712547051;"betula"
"b[(Intercept) Tree:3]1";2.98473757893275;"betula"
"b[as.factor(treatment.adj)2_14/26 Tree:3]1";1.21386358128621;"betula"
"b[as.factor(treatment.adj)3_14/26d Tree:3]1";-1.91278110915207;"betula"
"b[as.factor(treatment.adj)4_26/14 Tree:3]1";-2.12982666760149;"betula"
"b[as.factor(treatment.adj)5_14/22 Tree:3]1";0.0478524900867464;"betula"
"b[as.factor(treatment.adj)6_10/26 Tree:3]1";-2.84170340800028;"betula"
"b[(Intercept) Tree:4]1";-5.18871035701074;"betula"
"b[as.factor(treatment.adj)2_14/26 Tree:4]1";0.466939265171217;"betula"
"b[as.factor(treatment.adj)3_14/26d Tree:4]1";0.159268675530325;"betula"
"b[as.factor(treatment.adj)4_26/14 Tree:4]1";-0.101934755722998;"betula"
"b[as.factor(treatment.adj)5_14/22 Tree:4]1";-0.401471614246005;"betula"
"b[as.factor(treatment.adj)6_10/26 Tree:4]1";-2.11838372626166;"betula"
"b[(Intercept) Tree:5]1";-6.23104239206421;"betula"
"b[as.factor(treatment.adj)2_14/26 Tree:5]1";-0.298221801047373;"betula"
"b[as.factor(treatment.adj)3_14/26d Tree:5]1";1.42410778692123;"betula"
"b[as.factor(treatment.adj)4_26/14 Tree:5]1";0.231161465918838;"betula"
"b[as.factor(treatment.adj)5_14/22 Tree:5]1";1.3832120166592;"betula"
"b[as.factor(treatment.adj)6_10/26 Tree:5]1";-1.1995410624569;"betula"
"b[(Intercept) Tree:6]1";4.37709021522436;"betula"
"b[as.factor(treatment.adj)2_14/26 Tree:6]1";-0.78125457870562;"betula"
"b[as.factor(treatment.adj)3_14/26d Tree:6]1";0.417130371369135;"betula"
"b[as.factor(treatment.adj)4_26/14 Tree:6]1";-0.112164620559523;"betula"
"b[as.factor(treatment.adj)5_14/22 Tree:6]1";0.946626680457803;"betula"
"b[as.factor(treatment.adj)6_10/26 Tree:6]1";0.598643222818552;"betula"
"b[(Intercept) Tree:7]1";5.32144433572187;"betula"
"b[as.factor(treatment.adj)2_14/26 Tree:7]1";-1.17529306524677;"betula"
"b[as.factor(treatment.adj)3_14/26d Tree:7]1";-0.284749053346793;"betula"
"b[as.factor(treatment.adj)4_26/14 Tree:7]1";0.473314720957243;"betula"
"b[as.factor(treatment.adj)5_14/22 Tree:7]1";0.197610388550758;"betula"
"b[as.factor(treatment.adj)6_10/26 Tree:7]1";4.73136503902352;"betula"
"b[(Intercept) Tree:8]1";2.4596953570626;"betula"
"b[as.factor(treatment.adj)2_14/26 Tree:8]1";-0.413350565972876;"betula"
"b[as.factor(treatment.adj)3_14/26d Tree:8]1";-0.206935204278219;"betula"
"b[as.factor(treatment.adj)4_26/14 Tree:8]1";1.36649425079576;"betula"
"b[as.factor(treatment.adj)5_14/22 Tree:8]1";-0.972033021949751;"betula"
"b[as.factor(treatment.adj)6_10/26 Tree:8]1";0.12247662601226;"betula"
"b[(Intercept) Tree:9]1";2.47074215519461;"betula"
"b[as.factor(treatment.adj)2_14/26 Tree:9]1";-0.137522612420197;"betula"
"b[as.factor(treatment.adj)3_14/26d Tree:9]1";-1.34124000596713;"betula"
"b[as.factor(treatment.adj)4_26/14 Tree:9]1";-0.141599306907272;"betula"
"b[as.factor(treatment.adj)5_14/22 Tree:9]1";-0.441993112403948;"betula"
"b[as.factor(treatment.adj)6_10/26 Tree:9]1";-0.516953066442258;"betula"
"b[(Intercept) Tree:10]1";-4.78970240470567;"betula"
"b[as.factor(treatment.adj)2_14/26 Tree:10]1";0.962606657645414;"betula"
"b[as.factor(treatment.adj)3_14/26d Tree:10]1";1.26756625688049;"betula"
"b[as.factor(treatment.adj)4_26/14 Tree:10]1";-0.459289117002676;"betula"
"b[as.factor(treatment.adj)5_14/22 Tree:10]1";-0.390498816522649;"betula"
"b[as.factor(treatment.adj)6_10/26 Tree:10]1";-1.49125455852113;"betula"
"sigma1";3.36024710654449;"betula"
"Sigma[Tree:(Intercept),(Intercept)]1";20.2546702553982;"betula"
"Sigma[Tree:as.factor(treatment.adj)2_14/26,(Intercept)]1";-0.966404888805738;"betula"
"Sigma[Tree:as.factor(treatment.adj)3_14/26d,(Intercept)]1";-2.12086571798482;"betula"
"Sigma[Tree:as.factor(treatment.adj)4_26/14,(Intercept)]1";-0.282910537815819;"betula"
"Sigma[Tree:as.factor(treatment.adj)5_14/22,(Intercept)]1";0.00109711916632002;"betula"
"Sigma[Tree:as.factor(treatment.adj)6_10/26,(Intercept)]1";2.07281710680159;"betula"
"Sigma[Tree:as.factor(treatment.adj)2_14/26,as.factor(treatment.adj)2_14/26]1";2.18779841550224;"betula"
"Sigma[Tree:as.factor(treatment.adj)3_14/26d,as.factor(treatment.adj)2_14/26]1";-0.0606328155136648;"betula"
"Sigma[Tree:as.factor(treatment.adj)4_26/14,as.factor(treatment.adj)2_14/26]1";-0.32168510314767;"betula"
"Sigma[Tree:as.factor(treatment.adj)5_14/22,as.factor(treatment.adj)2_14/26]1";-0.010951167957402;"betula"
"Sigma[Tree:as.factor(treatment.adj)6_10/26,as.factor(treatment.adj)2_14/26]1";-0.654936003192656;"betula"
"Sigma[Tree:as.factor(treatment.adj)3_14/26d,as.factor(treatment.adj)3_14/26d]1";2.69509945634754;"betula"
"Sigma[Tree:as.factor(treatment.adj)4_26/14,as.factor(treatment.adj)3_14/26d]1";0.682676389839466;"betula"
"Sigma[Tree:as.factor(treatment.adj)5_14/22,as.factor(treatment.adj)3_14/26d]1";0.401860342027052;"betula"
"Sigma[Tree:as.factor(treatment.adj)6_10/26,as.factor(treatment.adj)3_14/26d]1";0.439402204183536;"betula"
"Sigma[Tree:as.factor(treatment.adj)4_26/14,as.factor(treatment.adj)4_26/14]1";2.47588381146789;"betula"
"Sigma[Tree:as.factor(treatment.adj)5_14/22,as.factor(treatment.adj)4_26/14]1";-0.076805016886308;"betula"
"Sigma[Tree:as.factor(treatment.adj)6_10/26,as.factor(treatment.adj)4_26/14]1";0.87807777212648;"betula"
"Sigma[Tree:as.factor(treatment.adj)5_14/22,as.factor(treatment.adj)5_14/22]1";2.93859687764234;"betula"
"Sigma[Tree:as.factor(treatment.adj)6_10/26,as.factor(treatment.adj)5_14/22]1";0.120199548669728;"betula"
"Sigma[Tree:as.factor(treatment.adj)6_10/26,as.factor(treatment.adj)6_10/26]1";6.58921886128626;"betula"
"(Intercept)2";50.2776168317692;"fagus"
"as.factor(treatment.adj)2_14/262";-9.5754980371271;"fagus"
"as.factor(treatment.adj)3_14/26d2";-1.61323991564611;"fagus"
"as.factor(treatment.adj)4_26/142";-1.09907691389017;"fagus"
"as.factor(treatment.adj)5_14/222";1.25318737085641;"fagus"
"as.factor(treatment.adj)6_10/262";-15.225362127413;"fagus"
"b[(Intercept) Tree:1]2";4.70314254934648;"fagus"
"b[as.factor(treatment.adj)2_14/26 Tree:1]2";-1.45903414296156;"fagus"
"b[as.factor(treatment.adj)3_14/26d Tree:1]2";0.742466662506076;"fagus"
"b[as.factor(treatment.adj)4_26/14 Tree:1]2";-0.39241065010277;"fagus"
"b[as.factor(treatment.adj)5_14/22 Tree:1]2";1.34587394783153;"fagus"
"b[as.factor(treatment.adj)6_10/26 Tree:1]2";0.226670549881674;"fagus"
"b[(Intercept) Tree:2]2";3.06572947148062;"fagus"
"b[as.factor(treatment.adj)2_14/26 Tree:2]2";-1.44338857913951;"fagus"
"b[as.factor(treatment.adj)3_14/26d Tree:2]2";2.85019564970293;"fagus"
"b[as.factor(treatment.adj)4_26/14 Tree:2]2";0.0789343861805205;"fagus"
"b[as.factor(treatment.adj)5_14/22 Tree:2]2";0.764963949640629;"fagus"
"b[as.factor(treatment.adj)6_10/26 Tree:2]2";-1.51805706128626;"fagus"
"b[(Intercept) Tree:3]2";0.0306353535270575;"fagus"
"b[as.factor(treatment.adj)2_14/26 Tree:3]2";0.3376939020481;"fagus"
"b[as.factor(treatment.adj)3_14/26d Tree:3]2";-1.54969275937458;"fagus"
"b[as.factor(treatment.adj)4_26/14 Tree:3]2";-1.54752939289629;"fagus"
"b[as.factor(treatment.adj)5_14/22 Tree:3]2";-0.0755368266806544;"fagus"
"b[as.factor(treatment.adj)6_10/26 Tree:3]2";0.889328990337588;"fagus"
"b[(Intercept) Tree:4]2";0.485315507249042;"fagus"
"b[as.factor(treatment.adj)2_14/26 Tree:4]2";0.329293101647332;"fagus"
"b[as.factor(treatment.adj)3_14/26d Tree:4]2";0.903097644028875;"fagus"
"b[as.factor(treatment.adj)4_26/14 Tree:4]2";0.600150253322971;"fagus"
"b[as.factor(treatment.adj)5_14/22 Tree:4]2";-1.57560165300677;"fagus"
"b[as.factor(treatment.adj)6_10/26 Tree:4]2";-2.07715995343549;"fagus"
"b[(Intercept) Tree:5]2";-4.14800612182899;"fagus"
"b[as.factor(treatment.adj)2_14/26 Tree:5]2";2.7568880810617;"fagus"
"b[as.factor(treatment.adj)3_14/26d Tree:5]2";-2.1234662991939;"fagus"
"b[as.factor(treatment.adj)4_26/14 Tree:5]2";-0.0647066560079945;"fagus"
"b[as.factor(treatment.adj)5_14/22 Tree:5]2";-1.3767041473859;"fagus"
"b[as.factor(treatment.adj)6_10/26 Tree:5]2";0.137479814643306;"fagus"
"b[(Intercept) Tree:6]2";-0.577345438480859;"fagus"
"b[as.factor(treatment.adj)2_14/26 Tree:6]2";0.689721885991108;"fagus"
"b[as.factor(treatment.adj)3_14/26d Tree:6]2";-1.81246270289675;"fagus"
"b[as.factor(treatment.adj)4_26/14 Tree:6]2";-2.09590283337633;"fagus"
"b[as.factor(treatment.adj)5_14/22 Tree:6]2";1.87123784923527;"fagus"
"b[as.factor(treatment.adj)6_10/26 Tree:6]2";1.91921885544221;"fagus"
"b[(Intercept) Tree:7]2";-3.39371783465107;"fagus"
"b[as.factor(treatment.adj)2_14/26 Tree:7]2";-0.448227329232824;"fagus"
"b[as.factor(treatment.adj)3_14/26d Tree:7]2";-0.159372082870362;"fagus"
"b[as.factor(treatment.adj)4_26/14 Tree:7]2";3.04924515641391;"fagus"
"b[as.factor(treatment.adj)5_14/22 Tree:7]2";-1.1453538848202;"fagus"
"b[as.factor(treatment.adj)6_10/26 Tree:7]2";0.115643749240814;"fagus"
"b[(Intercept) Tree:8]2";-2.32151413022115;"fagus"
"b[as.factor(treatment.adj)2_14/26 Tree:8]2";-0.102442353922507;"fagus"
"b[as.factor(treatment.adj)3_14/26d Tree:8]2";0.723233388842922;"fagus"
"b[as.factor(treatment.adj)4_26/14 Tree:8]2";0.0124062707777408;"fagus"
"b[as.factor(treatment.adj)5_14/22 Tree:8]2";0.121930238324976;"fagus"
"b[as.factor(treatment.adj)6_10/26 Tree:8]2";-0.0897244901748296;"fagus"
"b[(Intercept) Tree:9]2";-3.12344978407047;"fagus"
"b[as.factor(treatment.adj)2_14/26 Tree:9]2";-0.180547831342658;"fagus"
"b[as.factor(treatment.adj)3_14/26d Tree:9]2";0.561037450711793;"fagus"
"b[as.factor(treatment.adj)4_26/14 Tree:9]2";1.74299054045075;"fagus"
"b[as.factor(treatment.adj)5_14/22 Tree:9]2";-1.35704522233785;"fagus"
"b[as.factor(treatment.adj)6_10/26 Tree:9]2";0.796141416329717;"fagus"
"b[(Intercept) Tree:10]2";5.69517287165738;"fagus"
"b[as.factor(treatment.adj)2_14/26 Tree:10]2";-0.87814432163008;"fagus"
"b[as.factor(treatment.adj)3_14/26d Tree:10]2";-0.214191916611395;"fagus"
"b[as.factor(treatment.adj)4_26/14 Tree:10]2";-1.24788007348913;"fagus"
"b[as.factor(treatment.adj)5_14/22 Tree:10]2";1.5269053445906;"fagus"
"b[as.factor(treatment.adj)6_10/26 Tree:10]2";-0.420736901483697;"fagus"
"sigma2";6.54797357508656;"fagus"
"Sigma[Tree:(Intercept),(Intercept)]2";14.5176052387011;"fagus"
"Sigma[Tree:as.factor(treatment.adj)2_14/26,(Intercept)]2";-2.48172372597495;"fagus"
"Sigma[Tree:as.factor(treatment.adj)3_14/26d,(Intercept)]2";0.797697959051132;"fagus"
"Sigma[Tree:as.factor(treatment.adj)4_26/14,(Intercept)]2";-2.36507875890579;"fagus"
"Sigma[Tree:as.factor(treatment.adj)5_14/22,(Intercept)]2";1.65120442436689;"fagus"
"Sigma[Tree:as.factor(treatment.adj)6_10/26,(Intercept)]2";-1.65707724315271;"fagus"
"Sigma[Tree:as.factor(treatment.adj)2_14/26,as.factor(treatment.adj)2_14/26]2";5.87458912096824;"fagus"
"Sigma[Tree:as.factor(treatment.adj)3_14/26d,as.factor(treatment.adj)2_14/26]2";-0.958072388511874;"fagus"
"Sigma[Tree:as.factor(treatment.adj)4_26/14,as.factor(treatment.adj)2_14/26]2";-0.241574493473708;"fagus"
"Sigma[Tree:as.factor(treatment.adj)5_14/22,as.factor(treatment.adj)2_14/26]2";-0.186016601912417;"fagus"
"Sigma[Tree:as.factor(treatment.adj)6_10/26,as.factor(treatment.adj)2_14/26]2";0.531023178984378;"fagus"
"Sigma[Tree:as.factor(treatment.adj)3_14/26d,as.factor(treatment.adj)3_14/26d]2";8.22619621362011;"fagus"
"Sigma[Tree:as.factor(treatment.adj)4_26/14,as.factor(treatment.adj)3_14/26d]2";1.79279683370191;"fagus"
"Sigma[Tree:as.factor(treatment.adj)5_14/22,as.factor(treatment.adj)3_14/26d]2";0.439327981897832;"fagus"
"Sigma[Tree:as.factor(treatment.adj)6_10/26,as.factor(treatment.adj)3_14/26d]2";-0.661170858881989;"fagus"
"Sigma[Tree:as.factor(treatment.adj)4_26/14,as.factor(treatment.adj)4_26/14]2";8.50090939311444;"fagus"
"Sigma[Tree:as.factor(treatment.adj)5_14/22,as.factor(treatment.adj)4_26/14]2";-1.04700661120418;"fagus"
"Sigma[Tree:as.factor(treatment.adj)6_10/26,as.factor(treatment.adj)4_26/14]2";-0.177448764309642;"fagus"
"Sigma[Tree:as.factor(treatment.adj)5_14/22,as.factor(treatment.adj)5_14/22]2";6.28716733201911;"fagus"
"Sigma[Tree:as.factor(treatment.adj)6_10/26,as.factor(treatment.adj)5_14/22]2";1.32761694729857;"fagus"
"Sigma[Tree:as.factor(treatment.adj)6_10/26,as.factor(treatment.adj)6_10/26]2";5.94216346726615;"fagus"
"(Intercept)3";32.5191958777816;"quercus"
"as.factor(treatment.adj)2_14/263";-1.44002819573259;"quercus"
"as.factor(treatment.adj)3_14/26d3";-3.08608075740916;"quercus"
"as.factor(treatment.adj)4_26/143";0.571295139276579;"quercus"
"as.factor(treatment.adj)5_14/223";4.25241397511568;"quercus"
"as.factor(treatment.adj)6_10/263";1.14075210573423;"quercus"
"b[(Intercept) Tree:1]3";-1.35681459241551;"quercus"
"b[as.factor(treatment.adj)2_14/26 Tree:1]3";0.0349337786147984;"quercus"
"b[as.factor(treatment.adj)3_14/26d Tree:1]3";0.491816762017125;"quercus"
"b[as.factor(treatment.adj)4_26/14 Tree:1]3";-2.58017296349616;"quercus"
"b[as.factor(treatment.adj)5_14/22 Tree:1]3";0.484236886351562;"quercus"
"b[as.factor(treatment.adj)6_10/26 Tree:1]3";1.46935977405273;"quercus"
"b[(Intercept) Tree:2]3";0.295941877818108;"quercus"
"b[as.factor(treatment.adj)2_14/26 Tree:2]3";-0.624013413691888;"quercus"
"b[as.factor(treatment.adj)3_14/26d Tree:2]3";-0.34477199327285;"quercus"
"b[as.factor(treatment.adj)4_26/14 Tree:2]3";-0.262796486615377;"quercus"
"b[as.factor(treatment.adj)5_14/22 Tree:2]3";1.59906646429994;"quercus"
"b[as.factor(treatment.adj)6_10/26 Tree:2]3";0.58019321792082;"quercus"
"b[(Intercept) Tree:3]3";3.36692581814104;"quercus"
"b[as.factor(treatment.adj)2_14/26 Tree:3]3";1.30359177744058;"quercus"
"b[as.factor(treatment.adj)3_14/26d Tree:3]3";-0.607000169979369;"quercus"
"b[as.factor(treatment.adj)4_26/14 Tree:3]3";-1.0762913512321;"quercus"
"b[as.factor(treatment.adj)5_14/22 Tree:3]3";-0.568003364229714;"quercus"
"b[as.factor(treatment.adj)6_10/26 Tree:3]3";-1.51644428624024;"quercus"
"b[(Intercept) Tree:4]3";1.08751070031751;"quercus"
"b[as.factor(treatment.adj)2_14/26 Tree:4]3";0.620342357725714;"quercus"
"b[as.factor(treatment.adj)3_14/26d Tree:4]3";-0.363915451135589;"quercus"
"b[as.factor(treatment.adj)4_26/14 Tree:4]3";-1.32494645589909;"quercus"
"b[as.factor(treatment.adj)5_14/22 Tree:4]3";-0.324006908046496;"quercus"
"b[as.factor(treatment.adj)6_10/26 Tree:4]3";0.637559314748897;"quercus"
"b[(Intercept) Tree:5]3";-3.09886437763501;"quercus"
"b[as.factor(treatment.adj)2_14/26 Tree:5]3";-0.248968491676151;"quercus"
"b[as.factor(treatment.adj)3_14/26d Tree:5]3";0.98275770693469;"quercus"
"b[as.factor(treatment.adj)4_26/14 Tree:5]3";-2.58248937574049;"quercus"
"b[as.factor(treatment.adj)5_14/22 Tree:5]3";-1.36137457222083;"quercus"
"b[as.factor(treatment.adj)6_10/26 Tree:5]3";1.04117347746081;"quercus"
"b[(Intercept) Tree:6]3";-2.04874267008484;"quercus"
"b[as.factor(treatment.adj)2_14/26 Tree:6]3";-0.531439710534618;"quercus"
"b[as.factor(treatment.adj)3_14/26d Tree:6]3";0.110718528222323;"quercus"
"b[as.factor(treatment.adj)4_26/14 Tree:6]3";3.24195380214029;"quercus"
"b[as.factor(treatment.adj)5_14/22 Tree:6]3";0.3756327978361;"quercus"
"b[as.factor(treatment.adj)6_10/26 Tree:6]3";-0.706364241555371;"quercus"
"b[(Intercept) Tree:7]3";2.53212464748658;"quercus"
"b[as.factor(treatment.adj)2_14/26 Tree:7]3";-0.668440441686932;"quercus"
"b[as.factor(treatment.adj)3_14/26d Tree:7]3";-1.19905696069087;"quercus"
"b[as.factor(treatment.adj)4_26/14 Tree:7]3";7.63606422972975;"quercus"
"b[as.factor(treatment.adj)5_14/22 Tree:7]3";0.246015372083222;"quercus"
"b[as.factor(treatment.adj)6_10/26 Tree:7]3";-2.2499248001739;"quercus"
"b[(Intercept) Tree:8]3";-0.124365740680279;"quercus"
"b[as.factor(treatment.adj)2_14/26 Tree:8]3";0.00132872840013946;"quercus"
"b[as.factor(treatment.adj)3_14/26d Tree:8]3";0.542802237249431;"quercus"
"b[as.factor(treatment.adj)4_26/14 Tree:8]3";-1.52504198617076;"quercus"
"b[as.factor(treatment.adj)5_14/22 Tree:8]3";-1.27116797807286;"quercus"
"b[as.factor(treatment.adj)6_10/26 Tree:8]3";0.0936991610207247;"quercus"
"b[(Intercept) Tree:9]3";-0.299159170663225;"quercus"
"b[as.factor(treatment.adj)2_14/26 Tree:9]3";0.379004758844088;"quercus"
"b[as.factor(treatment.adj)3_14/26d Tree:9]3";0.225337093843413;"quercus"
"b[as.factor(treatment.adj)4_26/14 Tree:9]3";-0.986972248779426;"quercus"
"b[as.factor(treatment.adj)5_14/22 Tree:9]3";0.171356006359164;"quercus"
