"mean";"2.5%";"25%";"50%";"75%";"97.5%";"Rhat";"mcse";"5%";"95%"
"(Intercept)";36.2019086570589;26.0542375025703;33.6578069715181;36.3101479657258;38.9270559872011;45.6860948924458;1.00387527042322;0.184663225453773;28.4919656327504;43.6991336803648
"as.factor(treatment.adj)2_14/26";-4.17291021092423;-5.17788802579366;-4.50654783983972;-4.17049276194734;-3.83251884746942;-3.19104842171891;1.00095159335591;0.012729822292783;-5.02039232789052;-3.34326493546458
"as.factor(treatment.adj)3_14/26d";-3.2142986243063;-4.22342644676709;-3.55984244103893;-3.2103580674637;-2.85920702543248;-2.20187976042951;1.00084156846177;0.0134555212650127;-4.07564398203985;-2.37776387176046
"as.factor(treatment.adj)4_26/14";-1.85249861206218;-2.95144163765859;-2.22387935217584;-1.84668374579066;-1.47348369119949;-0.786708409154989;0.999951666309282;0.0134706759924389;-2.78268044528018;-0.950395067243604
"as.factor(treatment.adj)5_14/22";1.39545499522655;0.404039124668478;1.05758514941473;1.3944326464587;1.7389024867725;2.39008895691647;1.00149880326998;0.0132760320693902;0.566245669533415;2.25185939067878
"as.factor(treatment.adj)6_10/26";-4.74319562341661;-5.74989878781142;-5.09219280473027;-4.73968974015135;-4.39264847526333;-3.74000901532821;0.999820881714771;0.0127770396867641;-5.58206183270327;-3.88818453136757
"b[(Intercept) Tree:Species:1:Acer]";-0.56293543005872;-3.47373106536959;-1.57467225465904;-0.560187013372857;0.43381388068874;2.36380806528395;1.00762511916332;0.051815644832437;-3.00431001263842;1.86004185812922
"b[(Intercept) Tree:Species:1:Betula]";3.6469479736312;0.833144744981637;2.66659816979992;3.63756968935628;4.6033024585645;6.437915758176;1.00221878977624;0.0554593058181618;1.27673456142973;6.00445207049283
"b[(Intercept) Tree:Species:1:Fagus]";5.44492407244717;2.33403322878536;4.42033628386679;5.45932117287679;6.48444175180502;8.41526135764042;1.00275407963608;0.0482766910332108;2.82920232442024;7.92907131277564
"b[(Intercept) Tree:Species:1:Quercus]";-1.12937981241874;-4.07112356708743;-2.14787069962936;-1.20218153911969;-0.130603530274728;1.9901215842138;1.00676139983168;0.0529083287750587;-3.53928970526109;1.41324274322916
"b[(Intercept) Tree:Species:2:Acer]";-4.21062654623426;-7.1543041103839;-5.14152729674234;-4.20464662286409;-3.23020203153167;-1.25861103366496;1.00970107225043;0.0547844555444047;-6.66484787637683;-1.83143848549126
"b[(Intercept) Tree:Species:2:Betula]";-4.79801790559992;-7.62028404203368;-5.80737301723547;-4.79717543248856;-3.81433108491401;-1.87462514210149;1.00217921112578;0.0568065097683533;-7.1892393547457;-2.36417275853256
"b[(Intercept) Tree:Species:2:Fagus]";4.01060954544034;1.09362906886307;2.99833910694098;4.01091921995421;5.05141371393633;6.96912108215745;1.00222977266367;0.046854132250158;1.48660022745163;6.52912204761794
"b[(Intercept) Tree:Species:2:Quercus]";0.249054150000286;-2.82295910051438;-0.74519569681211;0.214715526039919;1.24926362625731;3.32982573473757;1.00716633283236;0.053057870526177;-2.20722438328354;2.78178463702972
"b[(Intercept) Tree:Species:3:Acer]";-3.06531508719344;-5.97229378744339;-4.0087244307454;-3.05985856109625;-2.12152125123884;-0.110603075499978;1.00876788413406;0.0539858940931963;-5.46270599668877;-0.649260116226986
"b[(Intercept) Tree:Species:3:Betula]";1.81172410119359;-0.949664256317114;0.830762447168317;1.80432822343983;2.78986751579676;4.68256091090986;1.00140713000902;0.053973250605828;-0.497183178284363;4.17843962692002
"b[(Intercept) Tree:Species:3:Fagus]";0.577951503699879;-2.38332362506495;-0.470785322434973;0.584507398963158;1.60331748580564;3.6480200380092;1.00171315369226;0.0487693265765916;-1.94779662259446;3.09041214202574
"b[(Intercept) Tree:Species:3:Quercus]";2.7695513229869;-0.241021897613775;1.7287219464753;2.7739093865648;3.78033239162671;5.82720191414772;1.00564676958019;0.0528611044975896;0.235356979523908;5.32302980345362
"b[(Intercept) Tree:Species:4:Acer]";-4.04441046576431;-7.08032504151262;-5.08683344850735;-4.05465123208779;-2.97728452001451;-1.055434360193;1.00541340765667;0.0508492632197996;-6.63504363116709;-1.56015314278328
"b[(Intercept) Tree:Species:4:Betula]";-5.53345070138392;-8.41323622528325;-6.51505216254982;-5.51496300772265;-4.56770230049631;-2.62585382949629;1.00163674003018;0.0551193664926349;-7.91962773222448;-3.15151922192511
